"test_type"	"sort_alg"	"log_size"	"size"	"*sort"	"\sort"	"/sort"	"3sort"	"+sort"	"~sort"	"=sort"	"!sort"
"Int64"	"QuickSort"	6	64	3.876e-6	3.891e-6	4.072e-6	3.656e-6	4.686e-6	5.344e-6	2.644e-6	4.949e-6
"Int64"	"QuickSort"	6	64	4.0e-6	3.124e-6	4.252e-6	1.821e-6	4.058e-6	4.493e-6	2.676e-6	3.833e-6
"Int64"	"QuickSort"	6	64	3.084e-6	2.26e-6	2.159e-6	2.215e-6	3.077e-6	3.505e-6	1.805e-6	3.684e-6
"Int64"	"QuickSort"	6	64	4.648e-6	2.817e-6	3.002e-6	2.362e-6	5.255e-6	3.808e-6	2.242e-6	4.084e-6
"Int64"	"QuickSort"	6	64	4.097e-6	3.176e-6	2.654e-6	3.166e-6	4.311e-6	3.965e-6	2.908e-6	4.347e-6
"Int64"	"QuickSort"	7	128	1.027e-5	4.284e-6	3.698e-6	4.729e-6	7.733e-6	5.57e-6	4.346e-6	9.008e-6
"Int64"	"QuickSort"	7	128	8.991e-6	3.84e-6	3.353e-6	4.773e-6	8.15e-6	5.8e-6	3.398e-6	7.582e-6
"Int64"	"QuickSort"	7	128	6.934e-6	2.937e-6	3.027e-6	3.211e-6	5.402e-6	4.962e-6	3.046e-6	6.448e-6
"Int64"	"QuickSort"	7	128	9.284e-6	3.602e-6	3.666e-6	3.456e-6	6.516e-6	6.062e-6	3.556e-6	7.974e-6
"Int64"	"QuickSort"	7	128	9.352e-6	3.63e-6	3.537e-6	3.634e-6	7.038e-6	5.904e-6	3.175e-6	7.371e-6
"Int64"	"QuickSort"	8	256	1.8378e-5	6.044e-6	6.407e-6	5.557e-6	1.2533e-5	9.787e-6	7.838e-6	1.8374e-5
"Int64"	"QuickSort"	8	256	1.6158e-5	5.803e-6	5.851e-6	5.91e-6	1.2353e-5	1.1364e-5	6.82e-6	1.446e-5
"Int64"	"QuickSort"	8	256	1.2664e-5	6.24e-6	4.906e-6	5.23e-6	1.0109e-5	8.636e-6	4.646e-6	1.3436e-5
"Int64"	"QuickSort"	8	256	1.6056e-5	6.718e-6	6.711e-6	5.83e-6	1.3349e-5	1.024e-5	6.579e-6	1.5166e-5
"Int64"	"QuickSort"	8	256	1.6884e-5	5.592e-6	5.955e-6	6.934e-6	1.3545e-5	1.2098e-5	7.778e-6	1.4017e-5
"Int64"	"QuickSort"	9	512	3.1798e-5	1.227e-5	1.3204e-5	1.0771e-5	2.4669e-5	2.0276e-5	1.3514e-5	2.8694e-5
"Int64"	"QuickSort"	9	512	5.3738e-5	1.3295e-5	9.284e-6	1.1436e-5	3.0887e-5	3.4066e-5	1.349e-5	3.3841e-5
"Int64"	"QuickSort"	9	512	3.486e-5	9.484e-6	7.245e-6	8.017e-6	1.9194e-5	1.7574e-5	9.238e-6	2.4789e-5
"Int64"	"QuickSort"	9	512	3.504e-5	9.679e-6	9.141e-6	1.1133e-5	2.2411e-5	1.8683e-5	1.3057e-5	3.5941e-5
"Int64"	"QuickSort"	9	512	3.2815e-5	1.033e-5	1.1354e-5	9.664e-6	2.3069e-5	2.0693e-5	1.3206e-5	3.2697e-5
"Int64"	"QuickSort"	10	1024	9.9422e-5	1.9006e-5	1.808e-5	1.8095e-5	4.3431e-5	3.9846e-5	2.4115e-5	7.3262e-5
"Int64"	"QuickSort"	10	1024	7.2244e-5	1.7722e-5	1.9152e-5	2.0564e-5	4.3129e-5	3.8942e-5	4.6428e-5	7.8898e-5
"Int64"	"QuickSort"	10	1024	6.6407e-5	1.5499e-5	1.9373e-5	2.1982e-5	4.1588e-5	3.8964e-5	1.8822e-5	4.8378e-5
"Int64"	"QuickSort"	10	1024	7.0939e-5	1.8054e-5	1.6153e-5	1.6676e-5	4.5016e-5	3.8421e-5	2.4478e-5	6.5067e-5
"Int64"	"QuickSort"	10	1024	8.1544e-5	2.0092e-5	1.5832e-5	2.4751e-5	4.3368e-5	3.8646e-5	3.0358e-5	6.5242e-5
"Int64"	"QuickSort"	11	2048	0.000180566	3.5718e-5	5.1544e-5	3.7269e-5	8.3754e-5	9.6527e-5	6.4795e-5	0.00011959
"Int64"	"QuickSort"	11	2048	0.000156851	4.8338e-5	3.3528e-5	4.2701e-5	0.000109314	9.7178e-5	6.1497e-5	0.000145648
"Int64"	"QuickSort"	11	2048	0.000171753	3.554e-5	3.225e-5	4.0025e-5	7.4369e-5	8.064e-5	3.522e-5	0.00010276
"Int64"	"QuickSort"	11	2048	0.000158636	3.7335e-5	2.9596e-5	3.7549e-5	7.3845e-5	9.6777e-5	5.2851e-5	0.000122056
"Int64"	"QuickSort"	11	2048	0.000158609	4.056e-5	3.8114e-5	4.1185e-5	8.6771e-5	9.0981e-5	5.5836e-5	0.000185678
"Int64"	"QuickSort"	12	4096	0.000379948	0.00010313	8.3659e-5	8.2745e-5	0.000186343	0.000177362	0.000115572	0.000321823
"Int64"	"QuickSort"	12	4096	0.000365635	8.0681e-5	9.1354e-5	6.9987e-5	0.00016134	0.000148898	0.000109747	0.000299346
"Int64"	"QuickSort"	12	4096	0.000277636	7.241e-5	5.5322e-5	6.0495e-5	0.000124709	0.000125637	9.0778e-5	0.000268327
"Int64"	"QuickSort"	12	4096	0.000357152	7.7301e-5	7.1716e-5	7.5476e-5	0.000189358	0.000191281	0.000113798	0.000423073
"Int64"	"QuickSort"	12	4096	0.000347403	9.4186e-5	7.2696e-5	6.2374e-5	0.000159068	0.000168995	0.000111822	0.00036353
"Int64"	"QuickSort"	13	8192	0.000961902	0.000176433	0.000184874	0.000166723	0.000307109	0.00031118	0.000332089	0.00052503
"Int64"	"QuickSort"	13	8192	0.000861294	0.000235146	0.000186622	0.00015031	0.000378259	0.000349328	0.000287536	0.000684918
"Int64"	"QuickSort"	13	8192	0.000603389	0.000119901	0.000147091	0.0001148	0.000260146	0.000251562	0.000162654	0.000427737
"Int64"	"QuickSort"	13	8192	0.000747815	0.000185213	0.000129627	0.000183344	0.000438266	0.000347146	0.000173766	0.000510182
"Int64"	"QuickSort"	13	8192	0.00084748	0.000214804	0.00014006	0.000180683	0.00032648	0.000305172	0.000320931	0.000538972
"Int64"	"QuickSort"	14	16384	0.001535688	0.000341175	0.000306324	0.000314602	0.000832232	0.000846065	0.000389804	0.001634388
"Int64"	"QuickSort"	14	16384	0.001663906	0.000421925	0.000416433	0.00028198	0.001236664	0.000935847	0.000386625	0.001243008
"Int64"	"QuickSort"	14	16384	0.001635537	0.000248566	0.000414162	0.000294998	0.00070365	0.000694943	0.00032904	0.001178474
"Int64"	"QuickSort"	14	16384	0.001535281	0.00029689	0.000289054	0.000394614	0.001136963	0.000685138	0.000405558	0.001215926
"Int64"	"QuickSort"	14	16384	0.001698584	0.000317336	0.000361914	0.000433908	0.000924478	0.000886553	0.000406596	0.001365316
"Int64"	"QuickSort"	15	32768	0.00375234	0.000626774	0.00079177	0.000780147	0.001749145	0.001648906	0.000930386	0.002576316
"Int64"	"QuickSort"	15	32768	0.003381089	0.000845714	0.00068914	0.000819234	0.002418668	0.001702165	0.001284115	0.0033082
"Int64"	"QuickSort"	15	32768	0.003694913	0.000551226	0.000652096	0.000742697	0.002321333	0.001167121	0.001190942	0.002340844
"Int64"	"QuickSort"	15	32768	0.003347246	0.000871419	0.000869537	0.000911555	0.001356362	0.001710726	0.001463742	0.003526431
"Int64"	"QuickSort"	15	32768	0.003569197	0.000859922	0.000845752	0.000589766	0.002206896	0.00180351	0.000816492	0.003479087
"Int64"	"QuickSort"	16	65536	0.00702333	0.001976676	0.001787928	0.001888315	0.0034903	0.003683114	0.001732342	0.008158172
"Int64"	"QuickSort"	16	65536	0.007154664	0.001882416	0.001385998	0.001749526	0.005384991	0.003764118	0.001618996	0.006850825
"Int64"	"QuickSort"	16	65536	0.00630384	0.00110517	0.00118618	0.001076814	0.0030204	0.002404907	0.001430291	0.004676977
"Int64"	"QuickSort"	16	65536	0.007430174	0.001785174	0.001569327	0.001313174	0.003462729	0.002826106	0.002033862	0.005409184
"Int64"	"QuickSort"	16	65536	0.006829949	0.001639527	0.001608188	0.00176128	0.005023311	0.003898276	0.003049012	0.005638058
"Int64"	"QuickSort"	17	131072	0.015766458	0.00308396	0.002955724	0.003705551	0.005919706	0.006003248	0.004464213	0.015131567
"Int64"	"QuickSort"	17	131072	0.015800672	0.00291317	0.003553676	0.003350341	0.00800684	0.005937758	0.00360642	0.014958458
"Int64"	"QuickSort"	17	131072	0.013502678	0.003079124	0.002414109	0.002332836	0.006342141	0.004985877	0.003473254	0.009592776
